_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;location
2886;Maternelle Elémentaire Saint Joseph;5;ENSEIGNEMENT;503;Primaire;;;Privé;MAUVES-SUR-LOIRE;26 Rue de la Mairie;02 40 25 51 11;;44470;[ 47.2969954749833 , -1.39389038173282]
2887;Elémentaire Pont-Marchand;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ORVAULT;22 Rue du Pont Marchand;02 28 07 45 59;www.orvault.fr;44700;[ 47.2627008311884 , -1.63147439318341]
2888;Maternelle Elémentaire Notre Dame;5;ENSEIGNEMENT;503;Primaire;;;Privé;REZE;29 Rue Fontaine Launay;02 40 75 74 22;;44400;[ 47.1873982988978 , -1.54820740319556]
2889;Maternelle Roger Salengro;5;ENSEIGNEMENT;501;Maternelle;;;Public;REZE;28 Rue Alexandre Huchon;02 40 75 71 15;;44400;[ 47.1842839717475 , -1.54787969588691]
2890;Elémentaire Roger Salengro;5;ENSEIGNEMENT;502;Elémentaire;;;Public;REZE;17 Place Roger Salengro;02 40 84 31 33;;44400;[ 47.1842885541225 , -1.54866795452829]
2891;Elémentaire Pauline Roland;5;ENSEIGNEMENT;502;Elémentaire;;;Public;REZE;5 Allée de Picardie;02 40 75 43 46;www.reze;;
2892;Maternelle Pauline Roland;5;ENSEIGNEMENT;501;Maternelle;;;Public;REZE;29B Rue du Lieutenant de Monti;02 40 75 82 74;www.reze.fr;44400;[ 47.1864753482739 , -1.55796391160418]
2893;Maternelle Château Sud;5;ENSEIGNEMENT;501;Maternelle;;;Public;REZE;2 Rue des Frères Lumière;02 40 75 73 88;;44400;[ 47.1809945152909 , -1.55870029609115]
2894;Elementaire Château Sud;5;ENSEIGNEMENT;502;Elémentaire;;;Public;REZE;Rue des Frères Lumière;02 40 84 31 90;;44400;[ 47.18134954696 , -1.55821077542443]
2895;Maternelle Chêne Creux;5;ENSEIGNEMENT;501;Maternelle;;;Public;REZE;Rue des Jardins;02 40 75 71 06;;44400;[ 47.1724670366876 , -1.54545704321851]
2896;Elémentaire Chêne Creux;5;ENSEIGNEMENT;502;Elémentaire;;;Public;REZE;31 Rue Jean-Baptiste et Henri Tendron;02 40 75 43 55;;44400;[ 47.1740418189186 , -1.54701678194601]
2897;Primaire Jean Jaures;5;ENSEIGNEMENT;503;Primaire;;;Public;REZE;1 Rue Paul Ploquin;02 40 75 45 75;;44400;[ 47.1940658077849 , -1.57932234411324]
2899;Maternelle La Houssais;5;ENSEIGNEMENT;501;Maternelle;;;Public;REZE;34 Avenue de la Houssais;02 40 75 83 65;;44400;[ 47.1744231487875 , -1.55230041025418]
2900;Elémentaire La Houssais;5;ENSEIGNEMENT;502;Elémentaire;;;Public;REZE;101 Rue Maurice Jouaud;02 40 04 19 30;;44400;[ 47.1753032017663 , -1.55405840375805]
2901;Maternelle Le Corbusier;5;ENSEIGNEMENT;501;Maternelle;;;Public;REZE;Boulevard Le Corbusier;02 40 75 72 99;;44400;[ 47.1884606820132 , -1.56829018080897]
2902;Maternelle Ouche Dinier;5;ENSEIGNEMENT;501;Maternelle;;;Public;REZE;Rue de l'Ouche Dinier;02 40 75 72 88;;44400;[ 47.1790966924501 , -1.53576810283364]
2903;Elémentaire Ouche Dinier;5;ENSEIGNEMENT;502;Elémentaire;;;Public;REZE;Rue de l'Ouche Dinier;;;44400;[ 47.1790744790606 , -1.53691100940641]
2905;Primaire Port-au-Blé;5;ENSEIGNEMENT;503;Primaire;;;Public;REZE;8 Rue du Port au Blé;02 40 75 25 29;;44400;[ 47.190773669235 , -1.55468624793]
2906;Primaire Ragon;5;ENSEIGNEMENT;503;Primaire;;;Public;REZE;Boulevard Condorcet;02 40 75 49 56;;44400;[ 47.1657386465253 , -1.54063316906624]
2907;Primaire Saint Anne - Saint Joseph;5;ENSEIGNEMENT;503;Primaire;;;Privé;REZE;8 Rue Camille Jouis;02 40 75 20 52;;44400;[ 47.1902361171281 , -1.5695952530676]
2908;Elémentaire Saint Paul;5;ENSEIGNEMENT;502;Elémentaire;;;Privé;REZE;66 Rue Jean Jaurès;02 51 11 01 01;;44400;[ 47.1867572478688 , -1.54700087410977]
2909;Maternelle Sainte Anne;5;ENSEIGNEMENT;501;Maternelle;;;Privé;REZE;11 Rue Saint Lupien;02 51 70 14 98;;44400;[ 47.1917059697372 , -1.56724310682132]
2913;Maternelle de l'Enclos;5;ENSEIGNEMENT;501;Maternelle;;;Public;VERTOU;9 Rue du Huit Mai 1945;02 40 34 44 91;;44120;[ 47.1701802949092 , -1.47406700640505]
2914;Primaire  Les Regniers;5;ENSEIGNEMENT;502;Elémentaire;;;Public;VERTOU;27 Rue des Reigniers;02 40 05 71 42;;44120;[ 47.1369161035294 , -1.4636373518138]
2916;Maternelle Les Treilles;5;ENSEIGNEMENT;501;Maternelle;;;Public;VERTOU;17 Avenue de Morges;02 40 34 85 23;www.vertou.fr;44120;[ 47.1666991650383 , -1.47186228576512]
2917;Elémentaire Les Treilles;5;ENSEIGNEMENT;502;Elémentaire;;;Public;VERTOU;17 Avenue de Morges;02 40 34 88 99;www.vertou.fr;44120;[ 47.1670579135085 , -1.47225387679796]
2918;Maternelle Saint Martin;5;ENSEIGNEMENT;501;Maternelle;;;Privé;VERTOU;2 Place des Dix Otages;02 40 34 42 58;www.smsjvertou.fr;44120;[ 47.1673654471071 , -1.47260089055749]
2919;Elémentaire Saint Jospeh;5;ENSEIGNEMENT;502;Elémentaire;;;Privé;VERTOU;2 Place des Dix Otages;02 40 34 42 58;www.smsjvertou.fr;44120;[ 47.1680751201804 , -1.47212547587036]
2920;Maternelle Elémentaire Saint Marc;5;ENSEIGNEMENT;503;Primaire;;;Privé;SAINT-JEAN-DE-BOISEAU;4 Rue Charles De Gaulle;02 40 65 74 75;st-marc.jimdo.com;44640;[ 47.1940288286175 , -1.72249042351929]
2921;Primaire Jacques Brel;5;ENSEIGNEMENT;503;Primaire;;;Public;SAINT-LEGER-LES-VIGNES;Rue de Nantes;02 40 05 68 07;;44710;[ 47.1360741013656 , -1.72946985613889]
2922;Maternelle Elémentaire La Providence;5;ENSEIGNEMENT;503;Primaire;;;Privé;ST-SEBASTIEN;38 Rue du Docteur Paul Michaux;02 40 34 71 52;;44230;[ 47.2076731336141 , -1.50937430300419]
2923;Elémentaire La Reinetière;5;ENSEIGNEMENT;502;Elémentaire;;;Public;SAINTE-LUCE-SUR-LOIRE;57 Boulevard Louis Pasteur;02 40 25 69 26;;44980;[ 47.2576239911867 , -1.48973542737272]
2924;Maternelle La Reinetière;5;ENSEIGNEMENT;501;Maternelle;;;Public;SAINTE-LUCE-SUR-LOIRE;61 Boulevard Louis Pasteur;02 40 25 86 81;;44980;[ 47.2575033019202 , -1.48940969584611]
2925;Elémentaire Les Tilleuls;5;ENSEIGNEMENT;502;Elémentaire;;;Public;SAINTE-LUCE-SUR-LOIRE;1B Rue Jules Ferry;02 40 25 66 19;;44980;[ 47.2514819832587 , -1.48658280204332]
2926;Elémentaire La Cerisaie;5;ENSEIGNEMENT;502;Elémentaire;;;Public;SAINTE-LUCE-SUR-LOIRE;10 Rue Jules Ferry;02 40 25 66 57;;44980;[ 47.2508975984874 , -1.48561419729631]
2927;Maternelle Les Prés Verts;5;ENSEIGNEMENT;501;Maternelle;;;Public;SAINTE-LUCE-SUR-LOIRE;12 Rue Jules Ferry;02 40 25 70 76;;44980;[ 47.2513080340976 , -1.48538811090092]
2928;Maternelle Les Pommes de Pin;5;ENSEIGNEMENT;501;Maternelle;;;Public;SAINTE-LUCE-SUR-LOIRE;2B Rue Jules Ferry;02 40 25 66 94;;44980;[ 47.2507096470765 , -1.48679054778022]
2929;Primaire Saint Vincent;5;ENSEIGNEMENT;503;Primaire;;;Privé;SAINTE-LUCE-SUR-LOIRE;6 Place Saint Exupéry;02 40 25 62 97;;44980;[ 47.2502816718911 , -1.48874070543775]
2931;Maternelle La Halbarderie 1;5;ENSEIGNEMENT;501;Maternelle;;;Public;THOUARE-SUR-LOIRE;5 Rue des Ecoles;02 40 77 32 58;;44470;[ 47.2696647002944 , -1.43954317079371]
2932;Elémentaire Paul Fort;5;ENSEIGNEMENT;502;Elémentaire;;;Public;THOUARE-SUR-LOIRE;Rue de Homberg;02 40 77 56 05;;44470;[ 47.2691673103063 , -1.44141361949763]
2933;Primaire Saint Louis de Monfort;5;ENSEIGNEMENT;503;Primaire;;;Public;THOUARE-SUR-LOIRE;Allée de la Coulée Verte;02 40 77 35 95;;44470;[ 47.2714543637012 , -1.44080950661743]
2934;Elémentaire Robert-Badinter;5;ENSEIGNEMENT;502;Elémentaire;;;Public;SAINT-JEAN-DE-BOISEAU;Avenue du Onze Novembre;02 40 65 64 94;ecole.boiseau.free.fr;44640;[ 47.1951230719613 , -1.72445432829662]
2936;Maternelle Emilienne-Leroux;5;ENSEIGNEMENT;501;Maternelle;;;Public;SAINT-JEAN-DE-BOISEAU;Rue des Violettes;02 40 65 86 68;ec-leroux-44.ac-nantes.fr;44640;[ 47.1928170942661 , -1.72434121899621]
2937;Primaire La Forêt;5;ENSEIGNEMENT;503;Primaire;;;Public;SAUTRON;19 Rue de la Forêt;02 40 94 95 25;;44880;[ 47.2645820070088 , -1.67784790868785]
2938;Maternelle La Rivière;5;ENSEIGNEMENT;501;Maternelle;;;Public;SAUTRON;Rue de la Rivière;02 40 63 23 96;;44880;[ 47.2633536127781 , -1.67056986209616]
2939;Elémentaire La Rivière;5;ENSEIGNEMENT;502;Elémentaire;;;Public;SAUTRON;Rue de la Rivière;02 40 63 17 87;;44880;[ 47.263830914977 , -1.67095865919338]
2940;Primaire Saint Jean Baptiste;5;ENSEIGNEMENT;503;Primaire;;;Privé;SAUTRON;13 Rue de l'Eglise;02 40 63 19 25;www.ecole-privee-sautron.tk;44880;[ 47.2643968116988 , -1.67128886967642]
2941;Primaire Jules d'Herbauges;5;ENSEIGNEMENT;503;Primaire;;;Public;SAINT-AIGNAN-GRANDLIEU;Place Saint Amani;02 40 26 45 00;ec-herbauges-44.ac-nantes.fr;44860;[ 47.1208969381967 , -1.63867931926341]
2943;Primaire Saint Pierre;5;ENSEIGNEMENT;503;Primaire;;;Privé;SAINT-AIGNAN-GRANDLIEU;26 Rue des Frères Rousseau;02 40 31 03 75;;44860;[ 47.1244829453125 , -1.63078077171359]
2945;Elémentaire Beauregard;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-HERBLAIN;22 Avenue de Beauregard;02 40 38 36 02;www.saint-herblain.fr;44800;[ 47.2115434349795 , -1.65876995594925]
2946;Elémentaire Bernardière;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-HERBLAIN;5 Rue de la Lozère;02 40 95 13 20;www.saint-herblain.fr;44800;[ 47.2066105950368 , -1.6177915384289]
2947;Elémentaire Condorcet;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-HERBLAIN;9 Rue de Tillay;02 40 58 65 73;www.saint-herblain.fr;44800;[ 47.2310036737641 , -1.60590555044479]
2948;Elémentaire Crémetterie;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-HERBLAIN;15 Rue de l'Ecole;02 40 43 93 37;www.saint-herblain.fr;44800;[ 47.2156323657241 , -1.60909931334529]
2949;Elémentaire Jacqueline Auriol;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-HERBLAIN;33 Rue des Calvaires;02 40 38 30 48;www.saint-herblain.fr;44800;[ 47.2123270332356 , -1.64956765626286]
2950;Elémentaire Joli Mai;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-HERBLAIN;66 Avenue de Cheverny;02 40 76 08 14;www.saint-herblain.fr;44800;[ 47.2431575172943 , -1.60149190067276]
2952;Elémentaire La Rabotière;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-HERBLAIN;4 Rue de Saint Servan;02 40 95 01 43;www.saint-herblain.fr;44800;[ 47.2152744976857 , -1.61659152115528]
2953;Elémentaire La Sensive;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-HERBLAIN;1 Rue de la Gironde;02 40 95 01 58;www.saint-herblain.fr;44800;[ 47.2106157194959 , -1.6133526121918]
2954;Elémentaire Les Grands Bois;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-HERBLAIN;9 Avenue des Grands Bois;02 40 59 20 54;www.saint-herblain.fr;44800;[ 47.2337411507036 , -1.5913759201213]
2955;Elémentaire René Guy Cadou;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-HERBLAIN;2 Rue du Bois de Lagland;02 40 63 80 63;www.saint-herblain.fr;44800;[ 47.2337964064034 , -1.63234798586977]
2956;Maternelle Soleil Levant;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-HERBLAIN;38 Rue de la Blanche;02 40 58 27 92;www.saint-herblain.fr;44800;[ 47.2200394891825 , -1.6118575154486]
2987;Maternelle Beausoleil;5;ENSEIGNEMENT;501;Maternelle;;;Public;LA-CHAPELLE-SUR-ERDRE;Rue de Beausoleil;02 40 72 87 07;ec-beausoleil-44.ac-nantes.fr;44240;[ 47.3041283073074 , -1.56211645421547]
2988;Elémentaire Beausoleil;5;ENSEIGNEMENT;502;Elémentaire;;;Public;LA-CHAPELLE-SUR-ERDRE;Rue de Beausoleil;02 40 72 06 15;ec-beausoleil-44.ac-nantes.fr;44240;[ 47.3041450764179 , -1.56133976696503]
2989;Maternelle La Blanchetière;5;ENSEIGNEMENT;501;Maternelle;;;Public;LA-CHAPELLE-SUR-ERDRE;3 Rue de la Blanchetière;02 40 72 87 08;www.lachapellesurerdre.fr;44240;[ 47.2886546871499 , -1.55368355349151]
2990;Elémentaire La Blanchetière;5;ENSEIGNEMENT;502;Elémentaire;;;Public;LA-CHAPELLE-SUR-ERDRE;3 Rue de la Blanchetière;02 40 77 80 18;www.lachapellesurerdre.fr;44240;[ 47.2881548480675 , -1.55358654432806]
2991;Maternelle La Lande de Mazaire;5;ENSEIGNEMENT;501;Maternelle;;;Public;LA-CHAPELLE-SUR-ERDRE;Rue de la Hautière;02 40 72 87 06;www.lachapellesurerdre.fr;44240;[ 47.2957324928364 , -1.55598991608517]
2992;Elémentaire La Lande de Mazaire;5;ENSEIGNEMENT;502;Elémentaire;;;Public;LA-CHAPELLE-SUR-ERDRE;Rue de la Hautière;02 40 72 01 96;www.lachapellesurerdre.fr;44240;[ 47.2963354911738 , -1.55681759391203]
2993;Maternelle Robert Doisneau;5;ENSEIGNEMENT;501;Maternelle;;;Public;LA-CHAPELLE-SUR-ERDRE;Boulevard du Gesvres;02 40 37 73 82;ecolerobertdoisneau.free.fr;44240;[ 47.2672471418801 , -1.55024009543805]
2994;Elémentaire Robert Doisneau;5;ENSEIGNEMENT;502;Elémentaire;;;Public;LA-CHAPELLE-SUR-ERDRE;Boulevard du Gesvres;02 40 93 58 97;ecolerobertdoisneau.free.fr;44240;[ 47.267672332687 , -1.54955065954073]
2995;Primaire Saint Michel;5;ENSEIGNEMENT;503;Primaire;;;Privé;LA-CHAPELLE-SUR-ERDRE;10B Avenue de la Gare;02 40 72 01 89;www.ecolesaintmichel.org;44240;[ 47.2973095385537 , -1.55056442644802]
3052;Elémentaire Françoise Giroud;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-HERBLAIN;5 Chemin de la Solvardière;02 28 03 82 61;www.saint-herblain.fr;44800;[ 47.2171394130458 , -1.64198535153939]
3078;Primaire Pierre Stalder;5;ENSEIGNEMENT;503;Primaire;;;Public;CARQUEFOU;8 Avenue du Souchais;02 28 23 22 30;www.carquefou.fr;44470;[ 47.3035668582094 , -1.49781740570406]
3131;GRETA  Nantes Industrie;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;NANTES;16 Rue Dufour;02 40 14 56 56;www.Greta.ac-nantes.fr;44000;[ 47.2255931015133 , -1.54482677975656]
3158;Institut Catholique des Arts et Métiers;5;ENSEIGNEMENT;506;Supérieur;;;Non Renseigné;CARQUEFOU;35 Chemin du Champ de Manoeuvre;02 40 52 40 52;www.icam.fr;44470;[ 47.2749942171352 , -1.50512721909632]
3163;Institut National de Formation et d'Enseignement Professionnel du Caoutchouc (IF;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;CARQUEFOU;4 Avenue du Professeur Jean Rouxel;02 51 13 15 15;www.ifoca.com;44470;[ 47.2981679309771 , -1.50292619219636]
3164;Institut Université de Nantes (IUT) Industrie;5;ENSEIGNEMENT;506;Supérieur;;;public;CARQUEFOU;2 Avenue du Professeur Jean Rouxel;02 28 09 20 00;www.iut-nantes.univ-nantes.fr;44470;[ 47.2978762019037 , -1.50267209121849]
3246;Association Régionale des Instituts de Formation en Travail Social Pays de la Lo;5;ENSEIGNEMENT;506;Supérieur;;;Non Renseigné;REZE;10 Rue Marion Cahour;02 40 75 80 07;www.arifts.fr/index.php/contacts.html;44400;[ 47.1888296561935 , -1.56663010375542]
3265;Lycée Général et Technologique Notre Dame;5;ENSEIGNEMENT;505;Lycée;;;Privé;REZE;Rue Gendron;02 40 32 87 87;www.notre-dame-reze.fr;44400;[ 47.1831784968626 , -1.54510257939524]
3297;Elémentaire de l'Enclos;5;ENSEIGNEMENT;502;Elémentaire;;;Public;VERTOU;9 Rue du Huit Mai 1945;02 51 71 03 65;;44120;[ 47.1709211423589 , -1.47410321159924]
3384;Elémentaire Saint Brice;5;ENSEIGNEMENT;502;Elémentaire;;;Privé;BASSE-GOULAINE;18 Place Saint Brice;02 40 06 04 15;;44115;[ 47.2147726618515 , -1.46481097718134]
3559;Elémentaire Joachim du Bellay;5;ENSEIGNEMENT;502;Elémentaire;;;Public;THOUARE-SUR-LOIRE;13 Rue de la Maurienne;02 40 77 30 47;;44470;[ 47.2751320270688 , -1.43956162337748]
3581;Lycée agricole Daniel Brottier;5;ENSEIGNEMENT;505;Lycée;;;Privé;BOUAYE;Allée Daniel Brottier;;;44830;[ 47.1612898330105 , -1.67634284202548]
3653;Collège Salvador Allende;5;ENSEIGNEMENT;504;Collège;;;Public;REZE;10 Avenue Léon Blum;02 40 75 46 64;;44400;[ 47.1843352108036 , -1.56985276829213]
3664;Institut de Formation CIFOE;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;NANTES;4 Rue Bisson;02 40 44 42 00;www.formation-cci.com;44100;[ 47.2057630663687 , -1.57533417321004]
3665;Centre de Formation des Apprentis IFOCOTEP;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;NANTES;3 Boulevard Bâtonnier Cholet;02 40 46 63 13;www.ifocotep.fr;44100;[ 47.1981846118317 , -1.60685367532121]
3767;Collège Lucie Aubrac;5;ENSEIGNEMENT;504;Collège;;;Public;VERTOU;Rond-Point de la Grammoire;02 40 31 85 28;http://clg-aubrac-44.ac-nantes.fr/;44120;[ 47.1774639239245 , -1.47176323474252]
3791;Primaire Julien Gracq;5;ENSEIGNEMENT;503;Primaire;;;Public;NANTES;3 Mail Haroun Tazieff;02 28 08 12 60;;44300;[ 47.2406166008686 , -1.51435306124787]
3826;Institut d'Etudes Avancées;5;ENSEIGNEMENT;508;Centre de recherche;;;Non Renseigné;NANTES;5 Allée Jacques Berque;02 40 48 30 30;www.iea-nantes.fr;44000;[ 47.2122813739377 , -1.53837875037376]
3827;Maison des Sciences de l'Homme Ange Gépin;5;ENSEIGNEMENT;508;Centre de recherche;;;Non Renseigné;NANTES;Allée Jacques Berque;02 40 48 30 30;www.msh.univ-nantes.fr;44000;[ 47.2123217050219 , -1.53853738077974]
3958;Institut des Hautes Etudes Ostéopathiques;5;ENSEIGNEMENT;506;Supérieur;;;Non Renseigné;ORVAULT;Rue du Commandant Charcot;02 28 07 29 28;www.idheo.com;44700;[ 47.253576782878 , -1.61657372272623]
4047;Primaire Aimé Césaire;5;ENSEIGNEMENT;503;Primaire;;;Public;NANTES;9 Esplanade Edouard Glissant;05 40 95 87 70;;44200;[ 47.2048592058008 , -1.56598858867514]
4086;ONIRIS - site de la Géraudière;5;ENSEIGNEMENT;506;Supérieur;;;Non Renseigné;NANTES;Rue de la Geraudiere;02 51 78 54 54;www.oniris-nantes.fr;44300;[ 47.2643626225361 , -1.56380644479107]
4156;Collège Ostéopathique Sutherland;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;ST-HERBLAIN;Impasse Serge Reggiani;02 40 92 01 92;www.cos-osteopathie.fr;44800;[ 47.2314335934253 , -1.62789619199287]
4214;Maternelle La Halbarderie 2;5;ENSEIGNEMENT;501;Maternelle;;;Public;THOUARE-SUR-LOIRE;Rue de Homberg;;;44470;[ 47.2694597991548 , -1.44106513112667]
4248;Maternelle Les Reigners;5;ENSEIGNEMENT;501;Maternelle;;;Public;VERTOU;27 Rue des Reigniers;02 40 04 41 41;;44120;[ 47.1370944401067 , -1.46387174054498]
4366;Pôle des Arts Graphiques;5;ENSEIGNEMENT;506;Supérieur;;;Non Renseigné;NANTES;1 Place Albert Camus;02 40 80 82 00;www.la-joliverie.com/pole-des-arts-graphiques;44200;[ 47.2051502823913 , -1.56236769732462]
4376;Maternelle Jean Zay;5;ENSEIGNEMENT;501;Maternelle;;;Public;BOUGUENAIS;Chemin Paul Eluard;02 40 65 29 06;www.ville-bouguenais.fr;44340;[ 47.1727098558515 , -1.62562241856954]
4759;Lycéee International Nelson Mandela;5;ENSEIGNEMENT;505;Lycée;;;Non Renseigné;NANTES;10 Rue Pierre Vidal-Naquet;07 61 61 27 20;http://iledenantes.paysdelaloire.e-lyco.fr/;44200;[ 47.2081178665622 , -1.53368937395892]
4783;Elémentaire Stéphane Hessel;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-HERBLAIN;2 Rue du Docteur Alfred Corlay;;www.saint-herblain.fr;44800;[ 47.2081120766731 , -1.64593498892667]
4823;Faculté de Langues;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;Chemin de la Censive du Tertre;02 40 14 12 99;www.flce.univ-nantes.fr;44300;[ 47.2444631926992 , -1.5525303795018]
4824;AGR L'Ecole de l'image;5;ENSEIGNEMENT;506;Supérieur;;;Non Renseigné;NANTES;2B Rue Rollin;02 40 73 18 25;www.agrnantes.fr;44100;[ 47.2096382681044 , -1.57514948630498]
4826;Ecole ESMA Ciné Créatis;5;ENSEIGNEMENT;506;Supérieur;;;Non Renseigné;NANTES;6 Rue René Siegfried;02 40 74 00 32;www.cinecreatis.net;44200;[ 47.2045989031613 , -1.5674566037982]
4827;EAC ( Ecole Atlantique de Commerce );5;ENSEIGNEMENT;506;Supérieur;;;Non Renseigné;NANTES;4 Rue Bisson;02 40 44 42 00;www.ecoleatlantique.com;44100;[ 47.2056262065733 , -1.57524791007154]
4828;Ecole supérieure des professions immobilières (ESPI);5;ENSEIGNEMENT;506;Supérieur;;;Non Renseigné;NANTES;Place de Bretagne;02 40 49 87 46;www.espi.asso.fr;44000;[ 47.217487453244 , -1.55809102877648]
4829;Institut de Formation en Soin Infirmier de la Croix Rouge (IFSI);5;ENSEIGNEMENT;506;Supérieur;;;Non Renseigné;REZE;6 Rue de la Gare;02 40 14 87 32;www.irfss-pays-de-loire.croix-rouge.fr;44400;[ 47.1944413143169 , -1.54904797393767]
4830;SUPINFO;5;ENSEIGNEMENT;506;Supérieur;;;Non Renseigné;ST-HERBLAIN;1 Rue du Charron;01 53 35 97 00;www.supinfo.com;44800;[ 47.2222420885054 , -1.64049851259657]
4839;ATLANPOLE - Siège;5;ENSEIGNEMENT;506;Supérieur;;;Non Renseigné;NANTES;95 Route de Gachet;;www.atlanpole.fr/Atlanpole/Nos-coordonnees;44300;[ 47.2873790631373 , -1.52591882840278]
4878;Maternelle Anne Frank;5;ENSEIGNEMENT;501;Maternelle;;;Public;CARQUEFOU;13 Rue Pierre Mendes France;;;44470;[ 47.301318352959 , -1.49129290936376]
4909;Groupe scolaire Félix Tessier;5;ENSEIGNEMENT;501;Maternelle;;;Public;SAINTE-LUCE-SUR-LOIRE;40 Rue Olympe de Gouges;;;44980;[ 47.2549599534722 , -1.46274199036294]
4911;Elémentaire Nelson Mandela;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-HERBLAIN;3 Rue du Danube;;www.saint-herblain.fr;44800;[ 47.2419386044889 , -1.61064383527765]
4913;IRT 2;5;ENSEIGNEMENT;508;Centre de recherche;;;Non Renseigné;NANTES;22 Boulevard Bénoni Goullin;;;44200;[ 47.2019045468007 , -1.55192659108347]
4945;Maternelle Nelson Mandela;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-HERBLAIN;3 Rue du Danube;;www.saint-herblain.fr;44800;[ 47.2417670317412 , -1.6106487655142]
4946;Maternelle Les Buzardières;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-HERBLAIN;21 Rue des Buzardières;02 40 38 30 51;www.saint-herblain.fr;44800;[ 47.2090571963456 , -1.65998367508502]
4947;Maternelle Stéphane Hessel;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-HERBLAIN;2 Rue du Docteur Alfred Corlay;;www.saint-herblain.fr;44800;[ 47.2082116738224 , -1.64669410952515]
4948;Maternelle Françoise Giroud;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-HERBLAIN;5 Chemin de la Solvardière;02 28 03 82 61;www.saint-herblain.fr;44800;[ 47.2173020684884 , -1.64187621373518]
5033;Primaire Yvonne et Alexandre Plancher;5;ENSEIGNEMENT;503;Primaire;;;Non Renseigné;REZE;3 Rue Georges Grille;;;44400;[ 47.1907310805622 , -1.57140576458628]
5034;Lycée Professionnel Léonard de Vinci;5;ENSEIGNEMENT;505;Lycée;;;Public;NANTES;31 Rue de la Bottière;;;44300;[ 47.2383732336614 , -1.52239310553938]
486;UFR de Droit;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;8 Chemin de la Censive du Tertre;02 40 14 15 15;www.univ-nantes.fr;44300;[ 47.2440450414866 , -1.55100145657789]
487;Faculté des Lettres et Sciences Humaines;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;16 Chemin de la Censive du Tertre;02 40 14 10 10;www.univ-nantes.fr;44300;[ 47.2455706823537 , -1.55067031353639]
490;Institut Français Recherche Exploitation Mer;5;ENSEIGNEMENT;508;Centre de recherche;;;Public;NANTES;4 Rue de l'Ile d'Yeu;02 40 37 40 00;www.ifremer.fr;44300;[ 47.2470000850226 , -1.54691289117152]
493;Institut Universitaire Formation des Maîtres;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;23 Rue Recteur Schmitt;02 40 74 25 10;www.pl.iufm.fr/sites/nantes/nantes.htm;44300;[ 47.2508676479668 , -1.55300429750414]
494;Conservatoire National Arts et Métiers;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;25 Boulevard Guy Mollet;02 40 16 10 10;www.cnam-paysdelaloire.fr;44300;[ 47.2504962425346 , -1.5545441113589]
495;Institut Régional d'Administration;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;1 Rue de la Bourgeonnière;02 40 74 34 77;www.ira-nantes.gouv.fr;44300;[ 47.2516613755122 , -1.55023731625197]
503;Centre Scientifique Technique Bâtiment;5;ENSEIGNEMENT;508;Centre de recherche;;;Public;NANTES;11 Rue Henri Picherit;02 40 37 20 00;www.cstb.fr;44300;[ 47.2550857107483 , -1.55437296774524]
504;Maternelle Elémentaire Sainte Claire d'Assise;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;70 Rue de la Bourgeonnière;02 40 76 77 26;;44300;[ 47.2534926689552 , -1.55722156846442]
506;Maternelle Le Baut;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;2T Rue des Renards;02 40 76 80 50;;44300;[ 47.2539862477641 , -1.56259102974462]
