_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;location
454;Lycée Albert Camus;5;ENSEIGNEMENT;505;Lycée;;;Public;NANTES;11 Rue Etienne Coutan;02 51 80 64 64;perso.wanadoo.fr/lycee.camus;44100;[ 47.2048807789565 , -1.60890897855634]
455;Institut Recherche Enseignement Sup.Tech.Electronique;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;6 Rue Christian Pauc;02 40 68 30 00;www.ireste.fr;44300;[ 47.2820875035582 , -1.51617025410572]
456;Institut Sciences Ingénieur Thermique Energ.Matériaux;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;6 Rue Christian Pauc;02 40 68 31 00;www.isitem.univ-nantes.fr;44300;[ 47.2819496885734 , -1.51441949861741]
458;ONIRIS-Ecole Nationale Vétérinaire Agroalimentaire et de l'Alimentation - site d;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;Route de Gachet;02 40 68 77 77;www.oniris-nantes.fr;44300;[ 47.290275229641 , -1.52533324726691]
459;Maternelle Jean Zay 1;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;19 Rue Yves Kartel;02 40 46 27 01;;44100;[ 47.2087112966535 , -1.60824162882087]
460;Lycée Technique Sacré Coeur;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;3 Rue Francis Portais;02 40 46 49 92;;44100;[ 47.2073378222075 , -1.60911189499045]
462;Maternelle Lucie Aubrac;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;45 Boulevard Jean Moulin;02 40 58 05 43;;44100;[ 47.2081083010119 , -1.59994830834277]
463;Collège Chantenay;5;ENSEIGNEMENT;504;Collège;;;Public;NANTES;62 Rue Amiral Du Chaffault;02 40 46 54 48;perso.wanadoo.fr/college-chantenay.nantes;44100;[ 47.2075917015535 , -1.58442404803705]
464;Maternelle Elémentaire Saint Clair;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;34 Rue Danton;02 40 46 37 43;;44100;[ 47.2132299173126 , -1.58854895693572]
465;Maternelle Elémentaire Sacré Coeur;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;13 Rue Giton;02 40 46 27 13;;44100;[ 47.2127940943443 , -1.5846741806926]
466;Primaire Ampère;5;ENSEIGNEMENT;503;Primaire;;;Public;NANTES;19 Rue Ampère;02 40 46 16 64;;44100;[ 47.2118037043738 , -1.58486691538525]
467;Maternelle Maisdon Pajot;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;22 Rue Maisdon Pajot;02 40 73 92 21;;44100;[ 47.2157184667103 , -1.58495784929838]
468;Elémentaire Fraternité;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;24 Boulevard de la Fraternité;02 40 46 14 58;;44100;[ 47.2153807423153 , -1.58632258854519]
469;Maternelle Elémentaire Marcel Callo;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;Boulevard de la Solidarité;02 40 46 33 02;;44100;[ 47.2180286777742 , -1.59641255866382]
470;Maternelle Contrie;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;40 Rue Jean Bouin;02 40 46 77 68;;44100;[ 47.2152309898254 , -1.60060783739847]
471;Maternelle Châtaigniers;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;77 Rue de la Contrie;02 40 43 02 04;;44100;[ 47.2201179938899 , -1.60055371425699]
472;Collège La Durantière;5;ENSEIGNEMENT;504;Collège;;;Public;NANTES;17 Rue Baptiste Marcet;02 51 80 60 40;;44100;[ 47.2147863776957 , -1.60370294586255]
475;Maternelle Dervallières Chézine;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;1 Rue Auguste Lepère;02 40 46 57 37;;44100;[ 47.226196442892 , -1.59754708636887]
476;Lycée Carcouët;5;ENSEIGNEMENT;505;Lycée;;;Public;NANTES;115 Boulevard du Massacre;02 40 16 18 18;;44100;[ 47.2300435473292 , -1.59430073093355]
479;Maternelle Port Boyer;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;53 Rue de l'Eraudière;02 40 50 21 60;;44300;[ 47.2395818573862 , -1.54143297405027]
481;Lycée Professionnel Maritime des Pays de Loire;5;ENSEIGNEMENT;505;Lycée;;;Public;NANTES;Rue du Port Boyer;02 40 50 51 01;;44300;[ 47.2408096644989 , -1.54574481120302]
482;Primaire Jonelière;5;ENSEIGNEMENT;503;Primaire;;;Public;NANTES;76 Route de la Jonelière;02 40 74 20 84;;44300;[ 47.2515975275872 , -1.54584324393525]
483;Centre Technique des Industries Mécaniques (CETIM);5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;74 Route de la Jonelière;02 40 37 36 35;www.cetim.fr;44300;[ 47.2520310883212 , -1.54721895233287]
485;AUDENCIA Nantes Ecole de Management;5;ENSEIGNEMENT;506;Supérieur;;;Privé;NANTES;8 Route de la Jonelière;02 40 37 34 34;www.escna.fr;44300;[ 47.2468531311837 , -1.55280798759239]
